floor_month,location,total_monthly_sales,median_monthly_sales,sales_region,sales_reg_num
2019-12-01,California,46.87,6.785,West/Pacific,1
2019-12-01,Washington,1.68,1.68,West/Pacific,1
2020-01-01,Arizona,457.15,12.54,West/Mountain,2
2020-01-01,California,1971.42,8.5,West/Pacific,1
2020-01-01,Colorado,60.370000000000005,10.229999999999999,West/Mountain,2
2020-01-01,Nevada,57.33,12.525,West/Mountain,2
2020-01-01,Oregon,285.28000000000003,15,West/Pacific,1
2020-01-01,Washington,227.96,15,West/Pacific,1
2020-02-01,Arizona,116.5,15.9,West/Mountain,2
2020-02-01,California,1409.47,11.9,West/Pacific,1
2020-02-01,Colorado,307.57,15,West/Mountain,2
2020-02-01,Nevada,23.4,23.4,West/Mountain,2
2020-02-01,Oregon,-94.95,5.68,West/Pacific,1
2020-02-01,Washington,493.54999999999995,7.800000000000001,West/Pacific,1
2020-03-01,Arizona,138.8,4.92,West/Mountain,2
2020-03-01,California,2089.37,9.96,West/Pacific,1
2020-03-01,Colorado,442.08,11,West/Mountain,2
2020-03-01,Nevada,-224.16,3.38,West/Mountain,2
2020-03-01,Oregon,272.53000000000003,12.675,West/Pacific,1
2020-03-01,Washington,63.31,4.37,West/Pacific,1
2020-04-01,Arizona,144.31,7.675000000000001,West/Mountain,2
2020-04-01,California,1523.88,10.08,West/Pacific,1
2020-04-01,Colorado,155.3,10.79,West/Mountain,2
2020-04-01,Nevada,3.9,3.9,West/Mountain,2
2020-04-01,Oregon,171.48,10.2,West/Pacific,1
2020-04-01,Washington,593.26,7.6499999999999995,West/Pacific,1
2020-05-01,Arizona,109.32,10.08,West/Mountain,2
2020-05-01,California,2661.72,12.55,West/Pacific,1
2020-05-01,Colorado,460.84,15,West/Mountain,2
2020-05-01,Nevada,60.940000000000005,4.92,West/Mountain,2
2020-05-01,Oregon,282.1,11.8,West/Pacific,1
2020-05-01,Washington,233.62,11.66,West/Pacific,1
2020-06-01,Arizona,174.32999999999998,11.7,West/Mountain,2
2020-06-01,California,4426.68,7.895,West/Pacific,1
2020-06-01,Colorado,156.19,9.135,West/Mountain,2
2020-06-01,Nevada,106.26,18,West/Mountain,2
2020-06-01,Oregon,-74.48000000000003,5.04,West/Pacific,1
2020-06-01,Washington,269.32,9.6,West/Pacific,1
2020-07-01,Arizona,120.58000000000001,11.15,West/Mountain,2
2020-07-01,California,2188.63,6.58,West/Pacific,1
2020-07-01,Colorado,144.02,7.529999999999999,West/Mountain,2
2020-07-01,Nevada,35.22,10.5,West/Mountain,2
2020-07-01,Oregon,192.29000000000002,11.4,West/Pacific,1
2020-07-01,Washington,1620.09,17.9,West/Pacific,1
2020-08-01,Arizona,-3002.25,10.2,West/Mountain,2
2020-08-01,California,3118.64,10.14,West/Pacific,1
2020-08-01,Colorado,281.56,14.875,West/Mountain,2
2020-08-01,Nevada,67.46000000000001,15,West/Mountain,2
2020-08-01,Oregon,128.3,7.5,West/Pacific,1
2020-08-01,Washington,161.56,9.44,West/Pacific,1
2020-09-01,Arizona,195.14000000000001,10.08,West/Mountain,2
2020-09-01,California,5446.25,8.379999999999999,West/Pacific,1
2020-09-01,Colorado,496.59000000000003,16.5,West/Mountain,2
2020-09-01,Nevada,210.64999999999998,12.675,West/Mountain,2
2020-09-01,Oregon,373.41,8.4,West/Pacific,1
2020-09-01,Washington,377.84000000000003,11.4,West/Pacific,1
2020-10-01,Arizona,939.0600000000001,17.61,West/Mountain,2
2020-10-01,California,3603.64,9.959999999999999,West/Pacific,1
2020-10-01,Colorado,247.57,8.29,West/Mountain,2
2020-10-01,Nevada,298.28999999999996,74.7,West/Mountain,2
2020-10-01,Oregon,708.64,10.5,West/Pacific,1
2020-10-01,Washington,148.4,9.78,West/Pacific,1
2020-11-01,Arizona,1210.51,13.200000000000001,West/Mountain,2
2020-11-01,California,8240.34,7.9,West/Pacific,1
2020-11-01,Colorado,626.75,9.899999999999999,West/Mountain,2
2020-11-01,Nevada,129.72,20.735,West/Mountain,2
2020-11-01,Oregon,825.13,6.84,West/Pacific,1
2020-11-01,Washington,929.83,9.899999999999999,West/Pacific,1
2020-12-01,Arizona,-80.66,13.335,West/Mountain,2
2020-12-01,California,2588.33,8.47,West/Pacific,1
2020-12-01,Colorado,285.18,8.26,West/Mountain,2
2020-12-01,Nevada,55.18,19.9,West/Mountain,2
2020-12-01,Oregon,596.3,11.42,West/Pacific,1
2020-12-01,Washington,116.50999999999999,5.04,West/Pacific,1
